"Date","Price","Open","High","Low","Vol.","Change %"
"08/31/2023","11.40","11.50","11.50","11.40","317.87K","0.00%"
"08/29/2023","11.40","11.60","11.60","11.30","223.93K","-0.87%"
"08/28/2023","11.50","11.40","11.50","11.30","79.23K","0.88%"
"08/25/2023","11.40","11.10","11.40","11.10","388.44K","1.79%"
"08/24/2023","11.20","11.60","11.60","11.10","90.57K","-1.75%"
"08/23/2023","11.40","11.50","11.50","11.40","219.13K","0.00%"
"08/22/2023","11.40","11.50","11.50","11.30","11.76K","-0.87%"
"08/21/2023","11.50","11.50","11.60","11.40","7.23M","0.00%"
"08/18/2023","11.50","11.80","11.80","11.40","388.82K","-1.71%"
"08/17/2023","11.70","11.90","11.90","11.60","123.39K","-0.85%"
"08/16/2023","11.80","11.20","12.00","11.10","15.41M","3.51%"
"08/15/2023","11.40","11.50","11.80","11.30","334.09K","-1.72%"
"08/14/2023","11.60","11.90","12.10","11.50","1.43M","-2.52%"
"08/11/2023","11.90","12.30","12.30","11.80","1.28M","-2.46%"
"08/10/2023","12.20","12.10","12.30","12.00","1.72M","1.67%"
"08/09/2023","12.00","12.00","12.10","12.00","877.93K","0.00%"
"08/08/2023","12.00","12.00","12.20","12.00","1.61M","0.00%"
"08/07/2023","12.00","12.00","12.30","12.00","1.23M","-0.83%"
"08/04/2023","12.10","11.50","12.30","11.20","7.00M","5.22%"
"08/03/2023","11.50","11.10","11.60","11.00","5.51M","3.60%"
"08/02/2023","11.10","11.00","11.10","11.00","417.48K","0.91%"
"07/31/2023","11.00","11.00","11.10","10.90","1.05M","-0.90%"
"07/28/2023","11.10","11.10","11.20","10.90","40.02K","-0.89%"
"07/27/2023","11.20","10.90","11.30","10.90","5.03M","2.75%"
"07/26/2023","10.90","10.90","11.00","10.80","770.81K","0.00%"
"07/25/2023","10.90","11.20","11.20","10.90","1.81M","-2.68%"
"07/24/2023","11.20","11.30","11.30","11.20","540.44K","-0.88%"
"07/21/2023","11.30","11.00","11.30","11.00","135.47K","0.89%"
"07/20/2023","11.20","11.10","11.30","10.80","1.01M","0.90%"
"07/19/2023","11.10","10.60","11.30","10.60","672.29K","2.78%"
"07/18/2023","10.80","11.00","11.00","10.60","337.49K","-1.82%"
"07/17/2023","11.00","11.00","11.10","10.90","1.04M","0.00%"
"07/14/2023","11.00","11.00","11.00","10.90","439.84K","0.00%"
"07/13/2023","11.00","11.10","11.10","10.90","2.09M","-0.90%"
"07/12/2023","11.10","11.00","11.10","11.00","1.79M","0.91%"
"07/11/2023","11.00","11.00","11.00","10.80","3.24M","0.92%"
"07/10/2023","10.90","10.80","11.10","10.80","3.15M","0.93%"
"07/07/2023","10.80","10.70","10.90","10.60","1.37M","0.93%"
"07/06/2023","10.70","10.80","10.80","10.50","1.32M","0.00%"
"07/05/2023","10.70","10.60","10.90","10.40","4.44M","2.88%"
"07/04/2023","10.40","10.40","10.50","10.30","8.85M","0.97%"
"06/28/2023","10.30","10.10","10.30","10.10","2.44M","1.98%"
"06/27/2023","10.10","10.20","10.40","10.10","32.89K","-2.88%"
"06/26/2023","10.40","10.30","10.40","10.10","2.15M","0.00%"
"06/23/2023","10.40","10.40","10.40","10.00","254.36K","0.97%"
"06/22/2023","10.30","10.30","10.50","10.10","248.18K","1.98%"
"06/21/2023","10.10","10.30","10.30","10.00","1.46M","-2.88%"
"06/20/2023","10.40","10.10","10.50","9.90","15.34M","2.97%"
"06/19/2023","10.10","10.20","10.20","10.00","51.43K","0.00%"
"06/16/2023","10.10","10.20","10.30","10.00","1.32M","-0.98%"
"06/15/2023","10.20","10.30","10.30","10.10","1.48M","-0.97%"
"06/14/2023","10.30","10.30","10.30","10.20","133.71K","0.98%"
"06/13/2023","10.20","10.30","10.30","10.20","1.57M","-0.97%"
"06/12/2023","10.30","10.10","10.40","10.10","139.01K","-0.96%"
"06/09/2023","10.40","10.30","10.40","10.20","21.94K","0.97%"
"06/08/2023","10.30","10.30","10.50","10.20","583.74K","0.00%"
"06/07/2023","10.30","10.30","10.30","10.20","164.58K","0.98%"
"06/06/2023","10.20","10.30","10.30","10.10","31.13K","0.00%"
"06/05/2023","10.20","10.20","10.30","10.10","466.08K","0.00%"
"06/02/2023","10.20","10.10","10.30","10.10","1.17M","-0.97%"
"06/01/2023","10.30","10.10","10.30","10.00","730.75K","1.98%"
"05/31/2023","10.10","10.00","10.20","10.00","8.90K","1.00%"
"05/30/2023","10.00","10.20","10.20","9.80","4.29K","-1.96%"
"05/29/2023","10.20","10.00","10.30","10.00","7.24M","0.00%"
"05/26/2023","10.20","10.00","10.20","10.00","283.74K","2.00%"
"05/25/2023","10.00","10.00","10.00","9.80","64.13K","2.04%"
"05/24/2023","9.80","9.90","10.00","9.80","131.26K","-1.01%"
"05/23/2023","9.90","9.80","9.90","9.70","55.89K","0.00%"
"05/22/2023","9.90","9.80","10.00","9.70","37.43K","-1.00%"
"05/19/2023","10.00","9.90","10.10","9.70","347.59K","0.00%"
"05/18/2023","10.00","9.80","10.00","9.70","164.58K","0.00%"
"05/17/2023","10.00","10.00","10.00","9.70","3.22M","-0.99%"
"05/16/2023","10.10","10.30","10.30","9.70","56.19K","-1.94%"
"05/15/2023","10.30","10.50","10.50","9.50","289.41K","-1.90%"
"05/12/2023","10.50","10.60","10.70","10.50","4.64M","-2.78%"
"05/11/2023","10.80","10.80","11.00","10.60","2.78M","0.00%"
"05/10/2023","10.80","10.90","11.00","10.80","1.23M","-0.92%"
"05/09/2023","10.90","11.10","11.10","10.80","839.99K","-1.80%"
"05/08/2023","11.10","11.10","11.10","11.00","4.83M","0.91%"
"05/04/2023","11.00","11.10","11.10","11.00","487.19K","-0.90%"
"05/03/2023","11.10","11.00","11.30","10.90","1.31M","1.83%"
"05/02/2023","10.90","11.00","11.10","10.80","3.17M","-0.91%"
"04/28/2023","11.00","10.80","11.10","10.80","8.53M","1.85%"
"04/27/2023","10.80","10.80","11.00","10.80","2.81M","-1.82%"
"04/26/2023","11.00","11.00","11.00","10.80","50.65K","0.00%"
"04/25/2023","11.00","11.00","11.10","10.70","8.51M","0.00%"
"04/24/2023","11.00","10.80","11.10","10.80","5.89M","0.92%"
"04/21/2023","10.90","10.90","11.00","10.80","8.46M","0.93%"
"04/20/2023","10.80","10.80","10.90","10.70","11.10M","0.93%"
"04/19/2023","10.70","10.80","10.90","10.70","804.44K","-1.83%"
"04/18/2023","10.90","10.40","10.90","10.40","12.25M","3.81%"
"04/17/2023","10.50","10.30","10.50","10.30","6.46M","0.96%"
"04/12/2023","10.40","10.40","10.40","10.20","88.91K","0.97%"
"04/11/2023","10.30","10.40","10.90","10.30","3.40M","-1.90%"
"04/10/2023","10.50","10.30","10.60","10.30","184.72K","0.96%"
"04/06/2023","10.40","10.50","10.50","10.40","1.19M","-0.95%"
"04/04/2023","10.50","10.50","10.60","10.40","2.23M","0.00%"
"04/03/2023","10.50","10.50","10.60","10.40","378.30K","0.00%"
"03/31/2023","10.50","10.60","10.60","10.40","3.59M","0.00%"
"03/30/2023","10.50","10.30","10.50","10.30","4.87M","0.96%"
"03/29/2023","10.40","10.50","10.50","10.30","78.49K","-0.95%"
"03/28/2023","10.50","10.40","10.50","10.30","600.61K","0.96%"
"03/27/2023","10.40","10.50","10.50","10.30","312.59K","-0.95%"
"03/24/2023","10.50","10.30","10.60","10.20","207.25K","0.96%"
"03/23/2023","10.40","10.40","10.60","10.30","3.80M","-0.95%"
"03/22/2023","10.50","10.20","10.50","10.10","74.80K","0.96%"
"03/21/2023","10.40","10.50","10.50","10.30","146.96K","1.96%"
"03/20/2023","10.20","10.50","10.70","10.20","1.80M","-2.86%"
"03/17/2023","10.50","10.50","10.60","10.50","79.30K","-0.94%"
"03/16/2023","10.60","10.60","10.70","10.50","8.09M","0.00%"
"03/15/2023","10.60","10.40","10.60","10.40","5.52M","1.92%"
"03/14/2023","10.40","10.10","10.40","10.10","2.52M","0.97%"
"03/13/2023","10.30","10.20","10.50","10.10","3.54M","-1.90%"
"03/10/2023","10.50","10.60","10.80","10.10","6.65M","-0.94%"
"03/09/2023","10.60","10.90","10.90","10.10","4.14M","-2.75%"
"03/08/2023","10.90","10.10","11.10","10.10","5.82M","9.00%"
